Year,Population,Elderly (%),GDP per Capita,Hospital Beds,Doctors per 1000,Smoking Rate,Mortality Rate,Life Expectancy
2018,536861,3.07,1671.49,1.45,1.0,22.72,29.23,53.28
2004,569655,8.58,1552.63,1.4,0.31,32.68,19.02,42.37
1997,505553,11.99,1665.45,0.77,0.74,30.67,27.17,42.47
2010,772092,2.48,742.89,1.56,0.52,40.24,15.83,42.67
2008,896040,11.77,1169.3,1.18,0.31,51.11,23.07,51.73
2012,332918,6.07,386.81,1.5,0.33,54.33,16.06,48.02
2000,33752,10.71,1346.2,1.76,0.96,53.79,29.01,47.28
2000,851461,9.82,1494.65,0.75,0.9,34.39,26.5,41.68
2013,158757,7.67,801.05,0.53,0.93,47.49,24.87,51.36
2013,926714,9.38,2420.86,1.67,0.99,32.51,27.36,35.77
1992,323837,10.79,2300.8,1.41,0.37,22.44,24.71,52.42
2011,126739,6.04,1888.72,1.55,0.48,48.06,29.53,45.25
1991,852393,5.27,1473.45,1.76,0.74,20.39,25.71,42.97
2013,248009,8.68,2213.93,1.7,0.59,36.37,28.87,44.94
2019,790316,10.08,587.44,1.94,0.53,33.18,22.76,48.35
1991,217980,9.62,2039.12,1.3,0.49,47.74,16.76,35.26
2010,266609,9.98,574.61,1.23,0.68,50.65,22.92,52.43
2022,398822,6.36,2047.26,1.1,0.66,32.16,16.9,43.93
2001,346676,10.18,906.69,0.73,0.33,52.47,23.89,41.86
2011,354138,3.2,2229.6,1.36,0.58,31.76,22.24,37.76
2014,328277,7.44,2376.89,0.92,0.64,37.85,24.34,43.79
2016,528271,2.06,627.35,1.88,0.66,49.08,15.15,44.93
2017,333412,5.25,1317.89,1.37,0.37,47.72,17.92,43.07
2005,495417,5.66,2458.17,1.39,0.79,59.49,22.37,48.57
2004,441459,5.96,1363.5,1.03,0.22,29.01,29.26,43.42
1992,198456,8.95,2199.8,0.58,0.48,46.49,20.75,54.23
1996,565941,5.89,1595.21,0.55,0.82,44.39,21.37,46.99
2010,167729,6.49,1125.73,1.14,0.65,56.6,25.72,51.15
1998,967456,4.38,928.72,0.63,0.41,26.25,24.06,37.19
2007,949684,5.73,747.09,1.41,0.76,50.07,19.48,42.95
1993,238504,4.27,1975.96,1.82,0.65,42.73,21.16,41.74
2014,656117,2.73,1150.39,1.82,0.84,30.99,18.27,46.39
2003,662665,8.03,1424.81,1.49,0.79,38.98,29.49,52.22
1998,535910,8.68,1383.12,0.82,0.69,33.35,16.96,36.57
2015,583044,8.19,1570.01,1.79,0.59,43.17,20.58,36.45
1991,50809,6.63,2204.27,1.83,0.31,55.56,15.39,52.01
2009,551013,5.8,2457.63,0.79,0.41,42.77,18.33,39.26
2017,726756,10.63,1196.69,1.61,0.54,45.27,26.71,48.38
1996,61226,7.19,2120.54,0.93,0.68,40.75,18.02,45.86
1997,509512,6.79,1981.96,1.7,0.61,22.05,16.2,51.66
2024,615470,2.26,1561.76,2.0,0.43,29.31,22.12,37.5
2003,485781,5.41,2403.3,0.55,0.21,39.68,15.15,37.6
2006,39402,5.8,741.04,1.85,0.6,32.41,16.27,46.14
1993,14263,5.99,540.38,1.43,0.43,27.27,27.11,53.93
1991,761883,7.8,2178.72,1.96,0.79,40.17,26.57,43.3
1995,187900,7.34,1266.13,1.2,0.22,32.91,28.73,41.54
1993,582212,8.08,2163.33,1.77,0.67,30.32,27.82,47.13
2018,346326,9.65,2264.8,0.59,0.95,38.56,25.25,53.61
2007,234137,10.13,437.41,1.0,0.34,25.33,15.78,51.74
2015,462268,9.18,2243.62,0.6,0.58,57.11,26.74,54.91
2023,939168,11.56,1286.3,1.96,0.27,54.71,27.68,35.45
1999,307881,2.18,1422.95,1.73,0.7,48.3,26.99,37.26
2003,373476,3.96,1678.5,1.78,0.64,24.25,22.63,47.19
2020,361707,2.08,2338.04,1.91,0.53,51.04,18.49,51.41
2004,694733,8.47,342.06,0.63,0.62,52.32,27.68,40.7
1997,520585,10.98,1349.06,1.08,0.92,50.71,25.91,39.78
2003,701757,4.43,1812.99,0.61,0.36,24.56,29.71,50.74
2012,400719,11.27,1889.96,0.82,0.22,45.76,17.34,36.13
2010,489361,2.6,1823.57,0.84,0.89,53.37,18.38,42.39
2005,111371,11.34,595.76,1.2,0.66,43.09,18.18,45.12
2007,572997,5.52,958.67,0.9,0.91,45.86,26.89,46.21
2013,202192,3.01,1089.17,0.65,0.68,38.33,17.8,49.57
2015,160322,6.86,2069.76,0.75,0.85,41.15,16.0,42.1
2014,31172,4.57,913.27,0.72,0.54,21.38,29.98,47.25
2018,545843,4.85,763.55,1.96,0.8,45.56,15.37,46.71
2004,587564,5.07,2406.39,1.64,0.93,23.26,27.53,45.95
1990,591780,10.03,319.5,1.95,0.66,37.4,20.48,47.81
2014,718362,7.39,2495.21,1.16,0.34,31.71,27.62,40.19
1996,523319,5.11,1789.01,0.92,0.42,41.82,23.32,36.69
1998,790298,8.1,2122.63,1.7,0.36,25.34,28.52,37.39
2013,886031,9.16,948.16,0.99,0.4,47.67,28.89,39.49
1990,999859,4.73,331.49,0.95,0.45,51.8,15.14,45.0
1997,232320,6.14,1923.31,0.85,0.64,26.53,16.13,51.81
2013,427978,3.22,2135.12,0.69,0.67,24.17,18.76,49.03
2000,21046,3.81,1929.05,0.88,0.54,25.82,25.04,50.78
2006,238071,8.81,614.27,1.03,0.69,55.09,28.32,42.02
1997,388165,3.81,1957.54,1.51,0.27,41.13,21.9,43.09
2024,956273,7.25,1991.63,0.59,0.27,38.69,24.1,42.87
2024,718662,9.09,1748.79,0.82,0.34,24.27,17.83,38.84
2022,426366,3.07,1985.46,1.71,0.61,45.98,27.07,36.22
1994,995751,7.67,2161.03,0.72,0.37,54.72,29.51,46.82
2017,276997,4.57,1649.93,1.01,0.43,53.13,19.03,54.78
1996,655188,11.63,494.93,1.8,0.52,45.04,22.42,38.34
1998,492615,6.84,1372.78,0.73,0.85,23.01,16.29,35.93
1997,425008,10.06,470.83,0.62,0.21,24.5,23.39,50.59
2001,593417,7.5,1196.59,1.23,0.72,21.97,22.54,40.05
2023,771379,2.43,1195.63,0.95,0.74,30.3,17.17,51.59
2022,215550,8.33,445.22,1.35,0.84,25.43,21.63,49.08
2012,254883,11.51,1067.41,1.71,0.95,30.4,20.01,53.91
2013,648418,8.02,544.2,0.71,0.22,35.4,22.83,43.18
2024,470514,10.19,2078.12,1.37,0.32,57.72,23.78,48.24
2011,959491,10.84,2384.91,1.26,0.91,44.42,15.13,44.3
2016,681210,4.28,459.1,0.72,0.57,53.4,26.42,47.61
2024,939616,4.12,2401.25,1.44,0.65,48.41,25.7,43.99
1990,131789,8.11,1449.67,0.91,0.73,24.5,20.49,38.77
2024,689418,6.11,959.04,1.23,0.74,49.44,15.79,45.16
2003,710780,10.4,469.1,0.62,0.95,31.0,26.32,45.57
1992,573178,11.0,1401.37,1.19,1.0,45.56,29.33,51.21
1990,76017,5.53,2047.93,0.96,0.78,33.64,18.6,49.71
1994,188376,4.37,1855.59,1.73,0.43,59.91,19.85,48.28
2015,698281,9.81,410.5,0.59,0.9,30.54,17.76,37.27
2003,509137,4.75,460.38,1.13,0.24,31.17,23.65,49.41
2016,666884,10.23,1186.32,1.19,0.38,57.23,17.32,45.01
1998,634712,6.24,949.64,1.59,0.92,20.99,20.34,52.88
2004,811480,8.68,811.25,1.36,0.4,47.87,25.46,53.4
2004,962615,2.96,918.21,1.5,0.38,49.01,23.4,36.1
2015,703264,8.24,2067.66,1.67,0.31,53.46,20.8,51.41
2002,851344,6.52,2344.3,1.79,0.89,58.98,21.3,35.75
2021,568296,7.87,1191.23,0.97,0.6,59.02,23.43,42.34
2021,403276,3.68,2293.44,1.31,0.74,22.61,15.09,45.85
1993,740026,9.37,1007.29,1.76,0.39,52.87,16.18,37.96
2019,617847,10.63,1348.16,1.98,0.81,45.85,28.22,49.93
2012,65337,4.17,797.26,1.83,0.81,45.89,16.17,35.17
2004,907048,2.96,1709.05,1.06,0.45,25.13,25.6,38.37
2018,285494,2.24,2453.76,0.79,0.53,46.01,28.8,46.62
2002,34354,8.42,1627.68,1.23,0.37,59.3,19.06,49.29
2021,55186,8.07,1087.19,1.61,0.98,56.47,20.56,53.33
1996,562433,7.47,1725.2,1.24,0.72,37.57,23.53,49.11
2011,437236,4.32,570.43,1.22,0.95,21.6,28.23,48.44
2017,620411,5.91,2255.05,1.76,0.44,34.49,29.13,42.89
1991,509883,7.94,1406.78,1.04,0.83,53.06,26.09,35.03
1995,740546,6.97,1288.57,1.79,0.81,48.06,16.3,37.4
2017,750829,11.88,1588.9,1.11,0.75,38.37,25.04,45.69
2017,554869,3.36,1674.52,0.99,0.97,22.2,21.15,48.5
2009,623217,8.95,457.91,1.18,0.51,37.08,22.06,43.35
2019,295195,6.04,1801.76,1.64,0.3,38.76,15.74,49.61
2000,585762,6.28,832.25,0.69,0.74,57.14,17.87,45.44
2017,626036,9.18,1870.7,0.79,0.78,45.64,26.86,36.48
2014,135995,8.92,2109.58,1.93,0.66,32.47,21.81,38.84
2022,255690,11.91,2068.71,0.76,0.37,41.01,19.52,51.8
1990,341770,3.28,1515.5,1.35,0.6,22.64,20.76,49.5
2016,803392,3.04,1444.37,1.37,0.45,58.9,27.82,52.9
2002,438988,9.24,614.33,1.23,0.54,34.4,26.23,37.35
1992,949024,7.78,2005.76,1.47,0.72,39.11,19.08,54.8
1995,190553,4.74,897.1,0.84,0.8,34.21,16.76,39.19
1997,570696,2.79,1392.73,1.33,0.39,47.3,18.78,35.24
2016,890438,2.86,925.4,1.06,0.52,46.49,28.81,54.95
1998,269568,10.94,594.42,1.49,0.42,48.61,23.72,40.62
2022,329278,3.92,1685.03,0.71,0.36,30.73,23.0,48.36
2013,161563,5.23,419.53,1.36,0.83,32.63,23.95,38.53
2004,666701,4.27,1947.02,0.78,0.93,25.01,20.49,46.6
2021,709983,5.55,998.69,0.92,0.5,46.22,27.11,53.08
2021,624615,2.69,300.3,0.83,0.8,21.59,22.85,41.4
2013,403554,7.19,1424.48,0.77,0.92,43.91,16.75,48.41
2001,212503,2.68,403.07,1.74,0.88,54.79,16.94,38.76
1991,153326,10.0,907.57,0.93,0.35,55.63,23.05,47.5
1992,717220,4.34,1855.35,1.89,0.97,37.96,29.05,41.73
2006,21344,7.4,437.92,1.95,0.5,38.37,19.63,39.22
1991,404966,10.8,2146.54,1.36,0.47,23.08,28.04,41.26
1991,982260,8.51,308.4,0.71,0.25,46.83,26.46,38.58
2017,602245,7.33,843.01,1.06,0.59,52.85,18.72,53.04
2012,115423,5.24,1929.99,1.7,0.29,29.79,15.55,42.94
2021,330197,5.33,995.79,1.05,0.4,36.85,16.53,39.91
2022,474071,8.69,524.16,0.63,0.45,53.55,25.93,43.97
1990,681256,11.94,1092.51,1.34,0.85,55.08,18.0,41.41
2008,196833,8.62,894.87,1.77,0.9,29.73,20.57,49.89
1991,727912,7.58,2153.97,1.69,0.44,42.02,22.53,54.42
2015,785435,9.31,989.37,0.76,0.89,27.7,25.88,43.76
2021,87454,6.65,2035.65,1.51,0.89,24.08,16.7,52.22
1995,267594,2.6,2262.12,0.83,0.81,56.44,21.1,46.32
2021,521897,7.62,1254.4,0.83,0.32,52.82,22.28,38.14
1993,362744,11.58,2301.87,1.81,0.75,50.4,23.11,48.81
2000,919164,3.75,1130.1,0.87,0.96,21.95,27.28,45.27
2006,526142,8.9,2420.97,0.89,0.75,53.75,17.58,48.01
2013,955439,4.01,496.44,0.5,0.47,37.52,27.12,52.79
1994,47641,7.36,1811.44,1.81,0.6,33.7,25.39,43.81
2023,563999,2.97,1386.39,1.69,0.72,41.86,23.34,53.02
1995,866774,6.5,1152.83,1.44,0.61,23.65,25.49,50.01
2011,379040,9.56,1691.97,1.63,0.3,50.27,21.18,44.77
2000,677542,5.48,1848.49,0.73,0.45,43.3,17.08,47.06
2005,622121,8.65,309.6,1.19,0.84,27.46,24.99,41.51
2022,328420,9.95,667.3,1.03,0.89,27.53,22.87,54.67
1998,291685,11.27,1868.7,0.64,0.31,27.37,24.59,48.35
1995,890889,4.35,1766.05,1.23,0.96,22.28,20.07,35.88
2005,485526,5.99,2425.3,1.88,0.46,43.51,28.6,41.53
2018,54813,3.52,1974.28,0.56,0.73,53.61,23.81,47.47
1992,702558,11.92,2391.7,0.94,0.8,20.7,16.28,36.13
2009,674180,11.27,1845.59,0.81,0.85,21.96,21.75,35.48
2008,296214,7.4,955.71,0.86,0.96,42.91,26.35,44.0
2015,997272,10.42,531.8,1.86,0.45,52.78,26.91,41.65
1992,938626,7.21,2020.01,1.2,0.89,33.07,22.42,43.77
2008,352703,8.24,1717.13,1.2,0.31,33.98,28.42,40.25
2009,214615,2.89,406.01,1.64,0.76,43.85,19.02,38.29
2021,486657,9.55,1092.11,0.73,0.79,30.97,21.16,48.78
1996,576074,3.28,2404.96,1.23,0.74,21.06,28.48,45.29
2022,760294,10.26,1400.88,1.14,0.4,49.41,28.44,39.0
2007,765164,9.82,1252.0,1.4,0.9,45.03,25.29,41.39
